,ST,CB,PB,GO,CA
0,1.0,0.0,0.0,0.0,0.0
1,0.95,0.05,0.0,0.0,0.0
2,0.95,0.0,0.05,0.0,0.0
3,0.95,0.0,0.0,0.05,0.0
4,0.95,0.0,0.0,0.0,0.05
5,0.9,0.1,0.0,0.0,0.0
6,0.9,0.05,0.05,0.0,0.0
7,0.9,0.05,0.0,0.05,0.0
8,0.9,0.05,0.0,0.0,0.05
9,0.9,0.0,0.1,0.0,0.0
10,0.9,0.0,0.05,0.05,0.0
11,0.9,0.0,0.05,0.0,0.05
12,0.9,0.0,0.0,0.1,0.0
13,0.9,0.0,0.0,0.05,0.05
14,0.9,0.0,0.0,0.0,0.1
15,0.85,0.15,0.0,0.0,0.0
16,0.85,0.1,0.05,0.0,0.0
17,0.85,0.1,0.0,0.05,0.0
18,0.85,0.1,0.0,0.0,0.05
19,0.85,0.05,0.1,0.0,0.0
20,0.85,0.05,0.05,0.05,0.0
21,0.85,0.05,0.05,0.0,0.05
22,0.85,0.05,0.0,0.1,0.0
23,0.85,0.05,0.0,0.05,0.05
24,0.85,0.05,0.0,0.0,0.1
25,0.85,0.0,0.15,0.0,0.0
26,0.85,0.0,0.1,0.05,0.0
27,0.85,0.0,0.1,0.0,0.05
28,0.85,0.0,0.05,0.1,0.0
29,0.85,0.0,0.05,0.05,0.05
30,0.85,0.0,0.05,0.0,0.1
31,0.85,0.0,0.0,0.15,0.0
32,0.85,0.0,0.0,0.1,0.05
33,0.85,0.0,0.0,0.05,0.1
34,0.85,0.0,0.0,0.0,0.15
35,0.8,0.2,0.0,0.0,0.0
36,0.8,0.15,0.05,0.0,0.0
37,0.8,0.15,0.0,0.05,0.0
38,0.8,0.15,0.0,0.0,0.05
39,0.8,0.1,0.1,0.0,0.0
40,0.8,0.1,0.05,0.05,0.0
41,0.8,0.1,0.05,0.0,0.05
42,0.8,0.1,0.0,0.1,0.0
43,0.8,0.1,0.0,0.05,0.05
44,0.8,0.1,0.0,0.0,0.1
45,0.8,0.05,0.15,0.0,0.0
46,0.8,0.05,0.1,0.05,0.0
47,0.8,0.05,0.1,0.0,0.05
48,0.8,0.05,0.05,0.1,0.0
49,0.8,0.05,0.05,0.05,0.05
50,0.8,0.05,0.05,0.0,0.1
51,0.8,0.05,0.0,0.15,0.0
52,0.8,0.05,0.0,0.1,0.05
53,0.8,0.05,0.0,0.05,0.1
54,0.8,0.05,0.0,0.0,0.15
55,0.8,0.0,0.2,0.0,0.0
56,0.8,0.0,0.15,0.05,0.0
57,0.8,0.0,0.15,0.0,0.05
58,0.8,0.0,0.1,0.1,0.0
59,0.8,0.0,0.1,0.05,0.05
60,0.8,0.0,0.1,0.0,0.1
61,0.8,0.0,0.05,0.15,0.0
62,0.8,0.0,0.05,0.1,0.05
63,0.8,0.0,0.05,0.05,0.1
64,0.8,0.0,0.05,0.0,0.15
65,0.8,0.0,0.0,0.2,0.0
66,0.8,0.0,0.0,0.15,0.05
67,0.8,0.0,0.0,0.1,0.1
68,0.8,0.0,0.0,0.05,0.15
69,0.8,0.0,0.0,0.0,0.2
70,0.75,0.25,0.0,0.0,0.0
71,0.75,0.2,0.05,0.0,0.0
72,0.75,0.2,0.0,0.05,0.0
73,0.75,0.2,0.0,0.0,0.05
74,0.75,0.15,0.1,0.0,0.0
75,0.75,0.15,0.05,0.05,0.0
76,0.75,0.15,0.05,0.0,0.05
77,0.75,0.15,0.0,0.1,0.0
78,0.75,0.15,0.0,0.05,0.05
79,0.75,0.15,0.0,0.0,0.1
80,0.75,0.1,0.15,0.0,0.0
81,0.75,0.1,0.1,0.05,0.0
82,0.75,0.1,0.1,0.0,0.05
83,0.75,0.1,0.05,0.1,0.0
84,0.75,0.1,0.05,0.05,0.05
85,0.75,0.1,0.05,0.0,0.1
86,0.75,0.1,0.0,0.15,0.0
87,0.75,0.1,0.0,0.1,0.05
88,0.75,0.1,0.0,0.05,0.1
89,0.75,0.1,0.0,0.0,0.15
90,0.75,0.05,0.2,0.0,0.0
91,0.75,0.05,0.15,0.05,0.0
92,0.75,0.05,0.15,0.0,0.05
93,0.75,0.05,0.1,0.1,0.0
94,0.75,0.05,0.1,0.05,0.05
95,0.75,0.05,0.1,0.0,0.1
96,0.75,0.05,0.05,0.15,0.0
97,0.75,0.05,0.05,0.1,0.05
98,0.75,0.05,0.05,0.05,0.1
99,0.75,0.05,0.05,0.0,0.15
100,0.75,0.05,0.0,0.2,0.0
101,0.75,0.05,0.0,0.15,0.05
102,0.75,0.05,0.0,0.1,0.1
103,0.75,0.05,0.0,0.05,0.15
104,0.75,0.05,0.0,0.0,0.2
105,0.75,0.0,0.25,0.0,0.0
106,0.75,0.0,0.2,0.05,0.0
107,0.75,0.0,0.2,0.0,0.05
108,0.75,0.0,0.15,0.1,0.0
109,0.75,0.0,0.15,0.05,0.05
110,0.75,0.0,0.15,0.0,0.1
111,0.75,0.0,0.1,0.15,0.0
112,0.75,0.0,0.1,0.1,0.05
113,0.75,0.0,0.1,0.05,0.1
114,0.75,0.0,0.1,0.0,0.15
115,0.75,0.0,0.05,0.2,0.0
116,0.75,0.0,0.05,0.15,0.05
117,0.75,0.0,0.05,0.1,0.1
118,0.75,0.0,0.05,0.05,0.15
119,0.75,0.0,0.05,0.0,0.2
120,0.75,0.0,0.0,0.25,0.0
121,0.75,0.0,0.0,0.2,0.05
122,0.75,0.0,0.0,0.15,0.1
123,0.75,0.0,0.0,0.1,0.15
124,0.75,0.0,0.0,0.05,0.2
125,0.75,0.0,0.0,0.0,0.25
126,0.7,0.3,0.0,0.0,0.0
127,0.7,0.25,0.05,0.0,0.0
128,0.7,0.25,0.0,0.05,0.0
129,0.7,0.25,0.0,0.0,0.05
130,0.7,0.2,0.1,0.0,0.0
131,0.7,0.2,0.05,0.05,0.0
132,0.7,0.2,0.05,0.0,0.05
133,0.7,0.2,0.0,0.1,0.0
134,0.7,0.2,0.0,0.05,0.05
135,0.7,0.2,0.0,0.0,0.1
136,0.7,0.15,0.15,0.0,0.0
137,0.7,0.15,0.1,0.05,0.0
138,0.7,0.15,0.1,0.0,0.05
139,0.7,0.15,0.05,0.1,0.0
140,0.7,0.15,0.05,0.05,0.05
141,0.7,0.15,0.05,0.0,0.1
142,0.7,0.15,0.0,0.15,0.0
143,0.7,0.15,0.0,0.1,0.05
144,0.7,0.15,0.0,0.05,0.1
145,0.7,0.15,0.0,0.0,0.15
146,0.7,0.1,0.2,0.0,0.0
147,0.7,0.1,0.15,0.05,0.0
148,0.7,0.1,0.15,0.0,0.05
149,0.7,0.1,0.1,0.1,0.0
150,0.7,0.1,0.1,0.05,0.05
151,0.7,0.1,0.1,0.0,0.1
152,0.7,0.1,0.05,0.15,0.0
153,0.7,0.1,0.05,0.1,0.05
154,0.7,0.1,0.05,0.05,0.1
155,0.7,0.1,0.05,0.0,0.15
156,0.7,0.1,0.0,0.2,0.0
157,0.7,0.1,0.0,0.15,0.05
158,0.7,0.1,0.0,0.1,0.1
159,0.7,0.1,0.0,0.05,0.15
160,0.7,0.1,0.0,0.0,0.2
161,0.7,0.05,0.25,0.0,0.0
162,0.7,0.05,0.2,0.05,0.0
163,0.7,0.05,0.2,0.0,0.05
164,0.7,0.05,0.15,0.1,0.0
165,0.7,0.05,0.15,0.05,0.05
166,0.7,0.05,0.15,0.0,0.1
167,0.7,0.05,0.1,0.15,0.0
168,0.7,0.05,0.1,0.1,0.05
169,0.7,0.05,0.1,0.05,0.1
170,0.7,0.05,0.1,0.0,0.15
171,0.7,0.05,0.05,0.2,0.0
172,0.7,0.05,0.05,0.15,0.05
173,0.7,0.05,0.05,0.1,0.1
174,0.7,0.05,0.05,0.05,0.15
175,0.7,0.05,0.05,0.0,0.2
176,0.7,0.05,0.0,0.25,0.0
177,0.7,0.05,0.0,0.2,0.05
178,0.7,0.05,0.0,0.15,0.1
179,0.7,0.05,0.0,0.1,0.15
180,0.7,0.05,0.0,0.05,0.2
181,0.7,0.05,0.0,0.0,0.25
182,0.7,0.0,0.3,0.0,0.0
183,0.7,0.0,0.25,0.05,0.0
184,0.7,0.0,0.25,0.0,0.05
185,0.7,0.0,0.2,0.1,0.0
186,0.7,0.0,0.2,0.05,0.05
187,0.7,0.0,0.2,0.0,0.1
188,0.7,0.0,0.15,0.15,0.0
189,0.7,0.0,0.15,0.1,0.05
190,0.7,0.0,0.15,0.05,0.1
191,0.7,0.0,0.15,0.0,0.15
192,0.7,0.0,0.1,0.2,0.0
193,0.7,0.0,0.1,0.15,0.05
194,0.7,0.0,0.1,0.1,0.1
195,0.7,0.0,0.1,0.05,0.15
196,0.7,0.0,0.1,0.0,0.2
197,0.7,0.0,0.05,0.25,0.0
198,0.7,0.0,0.05,0.2,0.05
199,0.7,0.0,0.05,0.15,0.1
200,0.7,0.0,0.05,0.1,0.15
201,0.7,0.0,0.05,0.05,0.2
202,0.7,0.0,0.05,0.0,0.25
203,0.7,0.0,0.0,0.3,0.0
204,0.7,0.0,0.0,0.25,0.05
205,0.7,0.0,0.0,0.2,0.1
206,0.7,0.0,0.0,0.15,0.15
207,0.7,0.0,0.0,0.1,0.2
208,0.7,0.0,0.0,0.05,0.25
209,0.7,0.0,0.0,0.0,0.3
210,0.65,0.35,0.0,0.0,0.0
211,0.65,0.3,0.05,0.0,0.0
212,0.65,0.3,0.0,0.05,0.0
213,0.65,0.3,0.0,0.0,0.05
214,0.65,0.25,0.1,0.0,0.0
215,0.65,0.25,0.05,0.05,0.0
216,0.65,0.25,0.05,0.0,0.05
217,0.65,0.25,0.0,0.1,0.0
218,0.65,0.25,0.0,0.05,0.05
219,0.65,0.25,0.0,0.0,0.1
220,0.65,0.2,0.15,0.0,0.0
