Asset,Duration,Volatility
Stocks,0,9.67047653935352
Cbonds,0,2.3442523857994924
svonds,0,1.660726580010545
Gold,0,4.666109164278344
USD,0,1.5126811445140043
Stocks,30,8.926277747917764
Cbonds,30,2.6635299993677557
svonds,30,1.5611056774763994
Gold,30,6.217973123964051
USD,30,1.8600826970270892
Stocks,180,7.878018315418625
Cbonds,180,2.2143693082803546
svonds,180,1.59710732724544
Gold,180,7.8253476763816625
USD,180,3.2687351550897246
Stocks,360,7.899900462780825
Cbonds,360,2.2013318192314197
svonds,360,1.6066692316952371
Gold,360,7.803817559941847
USD,360,3.3205116826277212
