Date,Trading method,Allocation no,Asset,Asset price,Amount to buy ,Total spending,Timeframe
"Dec 30, 2020",One-off,1,stocks,203.32,491,99830.12,
"Dec 30, 2020",One-off,1,sbonds,203.32,0,0.0,
"Dec 30, 2020",One-off,1,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,1,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,1,cash,1,0,0,
"Dec 30, 2020",One-off,2,stocks,203.32,467,94950.44,
"Dec 30, 2020",One-off,2,sbonds,203.32,24,4879.68,
"Dec 30, 2020",One-off,2,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,2,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,2,cash,1,0,0,
"Dec 30, 2020",One-off,3,stocks,203.32,467,94950.44,
"Dec 30, 2020",One-off,3,sbonds,203.32,0,0.0,
"Dec 30, 2020",One-off,3,sbonds,253.84,19,4822.96,
"Dec 30, 2020",One-off,3,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,3,cash,1,0,0,
"Dec 30, 2020",One-off,4,stocks,203.32,467,94950.44,
"Dec 30, 2020",One-off,4,sbonds,203.32,0,0.0,
"Dec 30, 2020",One-off,4,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,4,gold,177.7,28,4975.6,
"Dec 30, 2020",One-off,4,cash,1,0,0,
"Dec 30, 2020",One-off,5,stocks,203.32,467,94950.44,
"Dec 30, 2020",One-off,5,sbonds,203.32,0,0.0,
"Dec 30, 2020",One-off,5,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,5,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,5,cash,1,5000,5000,
"Dec 30, 2020",One-off,6,stocks,203.32,442,89867.44,
"Dec 30, 2020",One-off,6,sbonds,203.32,49,9962.68,
"Dec 30, 2020",One-off,6,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,6,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,6,cash,1,0,0,
"Dec 30, 2020",One-off,7,stocks,203.32,442,89867.44,
"Dec 30, 2020",One-off,7,sbonds,203.32,24,4879.68,
"Dec 30, 2020",One-off,7,sbonds,253.84,19,4822.96,
"Dec 30, 2020",One-off,7,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,7,cash,1,0,0,
"Dec 30, 2020",One-off,8,stocks,203.32,442,89867.44,
"Dec 30, 2020",One-off,8,sbonds,203.32,24,4879.68,
"Dec 30, 2020",One-off,8,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,8,gold,177.7,28,4975.6,
"Dec 30, 2020",One-off,8,cash,1,0,0,
"Dec 30, 2020",One-off,9,stocks,203.32,442,89867.44,
"Dec 30, 2020",One-off,9,sbonds,203.32,24,4879.68,
"Dec 30, 2020",One-off,9,sbonds,253.84,0,0.0,
"Dec 30, 2020",One-off,9,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,9,cash,1,5000,5000,
"Dec 30, 2020",One-off,10,stocks,203.32,442,89867.44,
"Dec 30, 2020",One-off,10,sbonds,203.32,0,0.0,
"Dec 30, 2020",One-off,10,sbonds,253.84,39,9899.76,
"Dec 30, 2020",One-off,10,gold,177.7,0,0.0,
"Dec 30, 2020",One-off,10,cash,1,0,0,
"Dec 30, 2020",One-off,11,stocks,203.32,442,89867.44,
