Date,Trading method,Allocation no,Asset,Weight of asset,Asset price,Amount to buy,Total spending,Investment period
"Jul 01, 2020",One-off,1,stocks,1.0,181.47,551,99989.97,3
"Jul 01, 2020",One-off,1,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,1,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,1,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,1,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,2,stocks,0.95,181.47,523,94908.81,3
"Jul 01, 2020",One-off,2,cbonds,0.05,83.04,60,4982.4,3
"Jul 01, 2020",One-off,2,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,2,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,2,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,3,stocks,0.95,181.47,523,94908.81,3
"Jul 01, 2020",One-off,3,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,3,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,3,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,3,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,4,stocks,0.95,181.47,523,94908.81,3
"Jul 01, 2020",One-off,4,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,4,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,4,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,4,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,5,stocks,0.95,181.47,523,94908.81,3
"Jul 01, 2020",One-off,5,cbonds,0.0,83.04,0,0.0,3
"Jul 01, 2020",One-off,5,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,5,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,5,cash,0.05,1,5000,5000,3
"Jul 01, 2020",One-off,6,stocks,0.9,181.47,495,89827.65,3
"Jul 01, 2020",One-off,6,cbonds,0.1,83.04,120,9964.8,3
"Jul 01, 2020",One-off,6,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,6,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,6,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,7,stocks,0.9,181.47,495,89827.65,3
"Jul 01, 2020",One-off,7,cbonds,0.05,83.04,60,4982.4,3
"Jul 01, 2020",One-off,7,sbonds,0.05,261.9,19,4976.1,3
"Jul 01, 2020",One-off,7,gold,0.0,166.62,0,0.0,3
"Jul 01, 2020",One-off,7,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,8,stocks,0.9,181.47,495,89827.65,3
"Jul 01, 2020",One-off,8,cbonds,0.05,83.04,60,4982.4,3
"Jul 01, 2020",One-off,8,sbonds,0.0,261.9,0,0.0,3
"Jul 01, 2020",One-off,8,gold,0.05,166.62,30,4998.6,3
"Jul 01, 2020",One-off,8,cash,0.0,1,0,0,3
"Jul 01, 2020",One-off,9,stocks,0.9,181.47,495,89827.65,3
"Jul 01, 2020",One-off,9,cbonds,0.05,83.04,60,4982.4,3
